time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010444850000	10.1772	1.34329	5.19266	0.228376	0.204876	radar	4.63227	10.5377	1.72555	10.1117	1.37011	4.97074	1.20841
1477010444900000	10.4032	1.42601	5.16793	0.251253	0.221484	lidar	1.31483	10.2492	1.45907	10.3598	1.4321	4.95106	1.2701
1477010444950000	10.639	1.51556	5.12089	0.277935	0.245503	radar	4.28146	10.9084	1.70343	10.6069	1.49721	4.93014	1.33298
1477010445000000	10.8673	1.54799	5.09463	0.272959	0.22444	lidar	1.49612	10.7313	1.45265	10.853	1.56549	4.90794	1.39701
1477010445050000	11.1302	1.60006	5.11611	0.273413	0.209585	radar	1.73046	11.4783	1.42876	11.0979	1.637	4.8844	1.46213
1477010445100000	11.4069	1.64501	5.14286	0.26888	0.189829	lidar	1.76609	11.587	1.61462	11.3416	1.71179	4.85948	1.52832
1477010445150000	11.6403	1.70584	5.11191	0.276888	0.189921	radar	1.05951	11.4763	1.53917	11.584	1.78992	4.83313	1.59551
1477010445200000	11.8717	1.77057	5.09565	0.284892	0.188435	lidar	0.474355	11.7788	1.74591	11.8251	1.87144	4.80531	1.66366
1477010445250000	12.1239	1.86004	5.12498	0.299902	0.193296	radar	1.24393	12.136	2.14937	12.0647	1.95639	4.77598	1.73273
1477010445300000	12.3676	1.88798	5.10951	0.286612	0.164685	lidar	0.802141	12.3226	1.78353	12.3029	2.04482	4.74508	1.80265
1477010445350000	12.621	1.9476	5.13168	0.285811	0.151021	radar	0.986127	12.5457	1.77728	12.5394	2.13677	4.71257	1.87338
1477010445400000	12.8215	2.08357	5.10516	0.328123	0.195194	lidar	3.4179	12.5924	2.17509	12.7743	2.23227	4.67842	1.94485
1477010445450000	13.0827	2.18721	5.1602	0.341563	0.194862	radar	3.63365	13.2198	2.6644	13.0075	2.33137	4.64258	2.01701
1477010445500000	13.2853	2.32958	5.13857	0.381897	0.233583	lidar	2.54475	13.0875	2.40708	13.2388	2.43409	4.605	2.08981
1477010445550000	13.4698	2.48201	5.0753	0.431369	0.288181	radar	10.7932	12.7087	3.12439	13.4682	2.54047	4.56565	2.16317
1477010445600000	13.7171	2.59454	5.09573	0.445421	0.287204	lidar	0.769945	13.836	2.62479	13.6955	2.65053	4.52448	2.23703
1477010445650000	13.9371	2.71101	5.08322	0.464745	0.295199	radar	0.225644	13.8302	2.73893	13.9208	2.7643	4.48147	2.31134
1477010445700000	14.1638	2.86181	5.10002	0.495275	0.314211	lidar	0.5109	14.2106	2.94205	14.1439	2.88179	4.43656	2.38601
1477010445750000	14.411	2.96663	5.13705	0.493427	0.284938	radar	1.62424	14.5568	2.87021	14.3646	3.00303	4.38974	2.46099
1477010445800000	14.6204	3.04062	5.09697	0.488852	0.263068	lidar	2.31051	14.4616	2.90734	14.583	3.12802	4.34097	2.5362
1477010445850000	14.8487	3.18928	5.13282	0.509443	0.266558	radar	3.91758	14.6754	3.96041	14.7989	3.25679	4.29021	2.61157
1477010445900000	15.0531	3.38005	5.14956	0.554072	0.304508	lidar	1.12924	15.0261	3.5067	15.0122	3.38932	4.23744	2.68703
1477010445950000	15.264	3.54647	5.14996	0.586073	0.328611	radar	2.43846	15.3685	4.14761	15.2228	3.52563	4.18263	2.76249
1477010446000000	15.4753	3.7316	5.17244	0.620177	0.349473	lidar	0.703474	15.5236	3.82936	15.4306	3.66572	4.12575	2.83789
1477010446050000	15.6879	3.86546	5.16568	0.629025	0.338808	radar	0.96049	15.7234	3.4105	15.6355	3.80957	4.06678	2.91315
1477010446100000	15.9093	4.00783	5.17159	0.63827	0.329215	lidar	0.254804	15.9774	4.00094	15.8375	3.95719	4.00571	2.98817
1477010446150000	16.1055	4.17523	5.15216	0.668085	0.354153	radar	1.73525	16.3376	4.21632	16.0363	4.10854	3.94251	3.0629
1477010446200000	16.3024	4.36788	5.17046	0.699048	0.369551	lidar	0.404579	16.3313	4.44499	16.2319	4.26363	3.87716	3.13723
1477010446250000	16.5124	4.53002	5.18181	0.710502	0.358849	radar	0.683015	16.7586	4.48231	16.4242	4.42242	3.80966	3.21109
1477010446300000	16.6919	4.69987	5.16849	0.731913	0.363571	lidar	0.434414	16.6039	4.67344	16.613	4.5849	3.74	3.28438
1477010446350000	16.8446	4.90446	5.12582	0.785527	0.426682	radar	4.73007	16.9236	5.10119	16.7983	4.75103	3.66817	3.35704
1477010446400000	17.0096	5.12564	5.1439	0.824505	0.447198	lidar	0.486392	16.9955	5.21099	16.9799	4.92077	3.59416	3.42897
1477010446450000	17.1787	5.30367	5.1243	0.847077	0.453274	radar	1.84783	17.3421	4.64623	17.1579	5.09409	3.51797	3.50008
1477010446500000	17.3408	5.4841	5.1095	0.866578	0.450184	lidar	0.262745	17.2894	5.43542	17.3319	5.27094	3.4396	3.57028
1477010446550000	17.4953	5.66463	5.08023	0.891666	0.461819	radar	3.48861	17.6463	4.74597	17.5019	5.45128	3.35907	3.63949
1477010446600000	17.6935	5.78855	5.04492	0.877938	0.419739	lidar	2.28339	17.7853	5.62476	17.6679	5.63506	3.27637	3.70762
1477010446650000	17.833	5.99681	5.02692	0.917549	0.454262	radar	1.33662	17.9216	6.07151	17.8297	5.82221	3.19151	3.77458
1477010446700000	18.0108	6.17962	5.02947	0.926066	0.437286	lidar	0.746518	18.1263	6.16985	17.9872	6.01269	3.10453	3.84027
1477010446750000	18.1571	6.39208	5.03566	0.952718	0.443955	radar	0.591203	18.1245	6.79027	18.1402	6.20641	3.01542	3.90462
1477010446800000	18.2805	6.62139	5.04391	0.988055	0.459134	lidar	0.350684	18.2164	6.66138	18.2888	6.40332	2.92421	3.96753
1477010446850000	18.4093	6.84078	5.0421	1.01867	0.47243	radar	0.242639	18.4022	7.02231	18.4328	6.60333	2.83093	4.0289
1477010446900000	18.5616	6.98116	4.98267	1.0134	0.441166	lidar	2.91081	18.5422	6.76013	18.572	6.80638	2.7356	4.08867
1477010446950000	18.7089	7.18904	4.99604	1.02276	0.418383	radar	0.522185	18.8089	7.24388	18.7064	7.01237	2.63825	4.14672
1477010447000000	18.9101	7.32572	4.96068	0.998067	0.366546	lidar	4.59024	19.1441	7.18344	18.8359	7.22122	2.53893	4.20299
1477010447050000	18.9934	7.54334	4.92358	1.04673	0.41937	radar	4.48364	18.5479	7.4012	18.9604	7.43283	2.43767	4.25737
1477010447100000	19.0869	7.79243	4.94417	1.08617	0.440228	lidar	0.703621	19.0138	7.8688	19.0798	7.64712	2.3345	4.3098
1477010447150000	19.2051	8.00474	4.94122	1.10289	0.432219	radar	0.345542	19.3089	7.67375	19.1939	7.86397	2.22949	4.36017
1477010447200000	19.2866	8.21619	4.91701	1.13162	0.441439	lidar	1.6311	19.132	8.12845	19.3028	8.08329	2.12266	4.40842
1477010447250000	19.3836	8.4314	4.91166	1.14852	0.428757	radar	2.40886	19.0239	8.17194	19.4062	8.30497	2.01409	4.45445
1477010447300000	19.4811	8.58426	4.83508	1.15362	0.413012	lidar	5.0944	19.347	8.30741	19.5042	8.5289	1.90381	4.49819
1477010447350000	19.568	8.80133	4.82141	1.18044	0.426403	radar	0.744049	19.6843	8.35902	19.5966	8.75494	1.7919	4.53956
1477010447400000	19.7339	8.96944	4.7941	1.16172	0.381522	lidar	4.63187	20.0039	8.8906	19.6835	8.983	1.67841	4.57848
